Category,Label,Package Name,Flatpak ID,Exec Name,Notes
Browsers,Brave Browser,,com.brave.Browser,brave,
Browsers,Google Chrome,,com.google.Chrome,google-chrome,
Browsers,Firefox,firefox,,firefox,
Browsers,Microsoft Edge,,com.microsoft.Edge,microsoft-edge,
Browsers,Opera,,com.opera.Opera,opera,
Browsers,Vivaldi,,com.vivaldi.Vivaldi,vivaldi,
Browsers,Zen,,app.zen_browser.zen,zen-browser,
Communication,Discord,,com.discordapp.Discord,discord,
Communication,Signal,,org.signal.Signal,signal-desktop,
Communication,Slack,,com.slack.Slack,slack,
Communication,Thunderbird,thunderbird,,thunderbird,
Dev Tools,Bottles,,com.usebottles.bottles,bottles,
Dev Tools,Boxes,,org.gnome.Boxes,gnome-boxes,
Dev Tools,Visual Studio Code,,com.visualstudio.code,code,
Dev Tools,PyCharm Community,,com.jetbrains.PyCharm-Community,pycharm-community,
Gaming,Lutris,,net.lutris.Lutris,lutris,
Gaming,ProtonUp-Qt,,net.davidotek.pupgui2,protonup-qt,
Gaming,Steam,steam,,steam,Native package
Gaming,Steam,,com.valvesoftware.Steam,steam,Flatpak
Multimedia,Audacity,audacity,,audacity,
Multimedia,GIMP,,org.gimp.GIMP,gimp,
Multimedia,mpv,mpv,,mpv,
Multimedia,OBS Studio,obs-studio,,obs,
Multimedia,OBS Studio,,com.obsproject.Studio,obs,
Multimedia,VLC,vlc,,vlc,
Office Tools,LibreOffice,libreoffice,,libreoffice,
Office Tools,OnlyOffice,,org.onlyoffice.desktopeditors,onlyoffice-desktopeditors,
Utilities,GParted,gparted,,gparted,
Utilities,htop,htop,,htop,
Utilities,LocalSend,,org.localsend.localsend_app,localsend,
